OBJECTID,LEA_GUID,LEA_OFFICIAL,CSO_LEA,LEA_ID,COUNTY,Shape__Area,Shape__Length
131,31e7c7c2-c64b-416e-8dcc-c3d78c9bc358,N,PALMERSTOWN-FONTHILL,13260419,DUBLIN,8047742.97290039,15446.4333607751
132,2ae19629-3f5a-13a3-e055-000000000001,Y,PEMBROKE,13260424,DUBLIN,9408140.61437988,16171.3057227642
133,2ae19629-3f76-13a3-e055-000000000001,Y,PILTOWN,1390402,KILKENNY,428362376.334808,119901.676803643
134,2ae19629-3f00-13a3-e055-000000000001,Y,PORTLAOISE,13100401,LAOIS,292964379.968781,123943.788921435
135,2ae19629-3f32-13a3-e055-000000000001,Y,PORTLAW-KILMACTHOMAS,13220401,WATERFORD,712877641.983582,178692.905493077
136,95e98599-40d4-4e66-941c-9800a149ea92,N,RATHFARNHAM-TEMPLEOGUE,13260413,DUBLIN,14523590.2365417,24800.3737626653
137,e7c5c260-72c3-403b-b8a8-1eda714b0fec,N,RATOATH,13160403,MEATH,296949249.209351,112139.280698936
138,2ae19629-3f25-13a3-e055-000000000001,Y,ROSCOMMON,13190401,ROSCOMMON,845918118.276367,261994.643248844
139,2ae19629-3f2d-13a3-e055-000000000001,Y,ROSCREA-TEMPLEMORE,13210401,TIPPERARY,492845201.678101,156337.407387458
140,873195fc-2a79-408b-a643-b0c5b898b4d4,N,ROSSLARE,13240403,WEXFORD,390645497.272797,166589.982429016
141,2ae19629-3ef7-13a3-e055-000000000001,Y,RUSH-LUSK,13260400,DUBLIN,192012572.153992,151467.037433874
142,2ae19629-3f61-13a3-e055-000000000001,Y,SHANNON,1330402,CLARE,258805142.810211,121482.075713556
143,2ae19629-3f42-13a3-e055-000000000001,Y,SKIBBEREEN-WEST CORK,1340407,CORK,759069887.742966,448092.508197662
144,2ae19629-3f28-13a3-e055-000000000001,Y,SLIGO-DRUMCLIFF,13200401,SLIGO,389702264.662689,256617.83546071
145,2ae19629-3ef4-13a3-e055-007589300001,Y,SLIGO-STRANDHILL,13200402,SLIGO,36814244.7805481,50908.3897726167
146,2ae19629-3f5b-13a3-e055-000000000001,Y,SOUTH EAST INNER CITY,13260425,DUBLIN,6908777.00283813,22835.2242426648
147,8fd7b64e-066f-4e6a-8564-5f59913eed0f,N,SOUTH WEST INNER CITY,13260430,DUBLIN,5115468.12182617,11941.9933458942
148,2ae19629-3efc-13a3-e055-000000000001,Y,STILLORGAN,13260405,DUBLIN,11494745.7225952,22533.0181639911
149,2ae19629-3ef4-13a3-e055-999110000001,Y,SWINFORD,13150405,MAYO,663434013.182007,228584.79585635
150,07103324-0802-4bb8-a1f1-13614eb67b7c,N,SWORDS,13260401,DUBLIN,68324684.4509583,57226.6591414259
151,f499b78c-07d6-4e53-a140-b5463468f2c0,N,TALLAGHT CENTRAL,13260412,DUBLIN,14574028.8890381,24017.7151295489
152,dfb0e9cc-e456-4386-a73f-b61cfb7a3b08,N,TALLAGHT SOUTH,13260415,DUBLIN,33846038.0713196,34711.5008875788
153,2ae19629-3ef4-13a3-e055-000005500001,Y,THURLES,13210406,TIPPERARY,455323922.748688,167398.843517474
154,2ae19629-3ef4-13a3-e055-000005600001,Y,TRALEE,1370405,KERRY,211250061.503571,145663.294920589
155,2ae19629-3f33-13a3-e055-000000000001,Y,TRAMORE-WATERFORD CITY WEST,13220420,WATERFORD,77467889.9021912,88589.7670472532
156,2ae19629-3f1c-13a3-e055-000000000001,Y,TRIM,13160404,MEATH,499498442.062805,154475.07235165
157,2ae19629-3f49-13a3-e055-000000000001,Y,TUAM,1360401,GALWAY,780692552.581299,175258.160926168
158,2ae19629-3f22-13a3-e055-000000000001,Y,TULLAMORE,13180401,OFFALY,399429567.831268,119370.964468814
159,2ae19629-3f03-13a3-e055-000000000001,Y,TULLOW,1310401,CARLOW,415169024.628845,163328.709979756
160,2ae19629-3f35-13a3-e055-000000000001,Y,WATERFORD CITY EAST,13220422,WATERFORD,111277723.409454,76785.8444344083
161,2ae19629-3f34-13a3-e055-000000000001,Y,WATERFORD CITY SOUTH,13220421,WATERFORD,34987097.1498108,36124.2036947278
162,2ae19629-3ef4-13a3-e055-111110000001,Y,WESTPORT,13150404,MAYO,784759776.956451,467631.638828119
163,11110837-4c13-4ee9-be5c-57ddf0778774,N,WEXFORD,13240404,WEXFORD,157289684.063965,108233.863452714
164,2ae19629-3ef5-13a3-e055-000000000001,Y,WICKLOW,13250403,WICKLOW,434096004.474335,147399.534886868
165,2ae19629-3f36-13a3-e055-000000000001,Y,ATHLONE,13230400,WESTMEATH,221819914.075531,82840.7087663244
166,2ae19629-3f26-13a3-e055-000000000001,Y,ATHLONE,13190402,ROSCOMMON,695622438.795563,184745.133239332
